date,daily_open_price,daily_close_price,daily_change,daily_min_price,daily_max_price,daily_avg_price,current_max_price,price_ratio,MA_30,MA_60,MA_90,MA_120,MA_150,MA_180,MA30_ratio,MA60_ratio,MA90_ratio,MA120_ratio,MA150_ratio,MA180_ratio,value_classification,value
30/12/2020,27338.45022,28883.50999,0.056515997,27338.45022,28976.60543,28157.52782,28157.52782,0,21558.26065,19039.93841,16650.25465,15139.47953,14438.5236,13653.69436,-0.234369552,-0.32380646,-0.40867484,-0.462329235,-0.487223321,-0.515096125,Extreme Greed,91
31/12/2020,28883.50949,28936.35678,0.00182967,27971.3228,29297.01521,28634.16901,28634.16901,0,21876.97341,19287.80027,16851.32123,15281.46948,14554.5954,13762.1008,-0.235983646,-0.326406145,-0.411496062,-0.466320483,-0.491705333,-0.519381869,Extreme Greed,95
01/01/2021,28936.35635,29390.99708,0.015711748,28728.22298,29642.07727,29185.15012,29185.15012,0,22221.49972,19548.65608,17058.25954,15435.25262,14674.36172,13874.00349,-0.238602521,-0.330184837,-0.415515786,-0.471126496,-0.497197662,-0.524621137,Extreme Greed,94
02/01/2021,29390.99619,32200.06607,0.095575865,29044.83166,33216.95704,31130.89435,31130.89435,0,22616.91858,19839.41744,17286.12547,15608.55022,14805.59099,13995.76799,-0.273489598,-0.362709686,-0.444727631,-0.498615425,-0.524408428,-0.550421911,Extreme Greed,94
03/01/2021,32200.06596,33009.69534,0.025143718,32045.13986,34806.11859,33425.62922,33425.62922,0,23095.81028,20164.73917,17538.3866,15801.78995,14950.16582,14129.80569,-0.309038878,-0.39672821,-0.475301228,-0.527255273,-0.552733451,-0.577276299,Extreme Greed,93
04/01/2021,33009.69738,31995.9031,-0.030712014,28219.75605,33592.17614,30905.9661,33425.62922,-0.075381173,23497.86014,20431.01796,17763.21054,15974.43095,15078.67368,14249.50751,-0.239698249,-0.338929646,-0.425249789,-0.483127921,-0.512111234,-0.53893991,Extreme Greed,94
05/01/2021,31995.89625,34018.74644,0.063222176,29956.36343,34458.65452,32207.50898,33425.62922,-0.036442702,23932.81891,20708.17949,18003.07812,16158.18672,15215.6062,14376.66934,-0.256918039,-0.357038773,-0.441028546,-0.498309952,-0.527575814,-0.55362368,Extreme Greed,93
06/01/2021,34018.7453,36807.52499,0.081977735,33376.35686,36960.87779,35168.61733,35168.61733,0,24462.0288,21043.01969,18275.80622,16366.50374,15372.30196,14520.79929,-0.304435867,-0.401653483,-0.480337653,-0.534627603,-0.562897176,-0.587109179,Extreme Greed,95
07/01/2021,36807.5328,39427.43135,0.071178325,36395.07935,40333.53696,38364.30816,38364.30816,0,25115.10992,21429.06622,18581.44018,16601.42041,15549.27741,14682.57229,-0.3453522,-0.441432226,-0.515658145,-0.567269131,-0.594694179,-0.617285623,Extreme Greed,91
08/01/2021,39427.40606,40561.64334,0.028767738,36649.67236,41936.45367,39293.06302,39293.06302,0,25819.77643,21828.04471,18892.83536,16842.52816,15734.27372,14849.4457,-0.342892245,-0.444480958,-0.519181405,-0.571361282,-0.599566119,-0.622084802,Extreme Greed,93
